epoch,acc,loss,lr,val_acc,val_loss
0,0.5267175436019897,2.8898427486419678,1e-04,0.625,0.9144682884216309
1,0.5,0.9539050459861755,1e-04,0.625,0.6729363203048706
2,0.4465648829936981,0.7930718660354614,1e-04,0.625,0.6554225087165833
3,0.5,0.7587275505065918,1e-04,0.71875,0.676921010017395
4,0.5190839767456055,0.7654577493667603,1e-04,0.53125,0.6836297512054443
5,0.5,0.7846937775611877,1e-04,0.65625,0.673690915107727
6,0.5114504098892212,0.7754852771759033,1e-04,0.71875,0.6583314538002014
7,0.5381679534912109,0.7708013653755188,1e-04,0.78125,0.6380821466445923
8,0.5267175436019897,0.758296549320221,1e-04,0.84375,0.6103992462158203
9,0.5419847369194031,0.7378344535827637,1e-04,0.78125,0.5775997638702393
10,0.5648854970932007,0.7130494117736816,1e-04,0.78125,0.5163773894309998
11,0.6030534505844116,0.6787543892860413,1e-04,0.8125,0.4416833519935608
12,0.6679389476776123,0.6437509059906006,1e-04,0.78125,0.3910589814186096
13,0.7022900581359863,0.6447233557701111,1e-04,0.875,0.4067109227180481
14,0.7519084215164185,0.6092430353164673,1e-04,0.75,0.546729564666748
15,0.7633587718009949,0.6155354380607605,1e-04,0.78125,0.5069946646690369
16,0.732824444770813,0.5682713985443115,1e-04,0.90625,0.35483264923095703
17,0.8206107020378113,0.39804625511169434,1e-04,0.8125,0.3099847435951233
18,0.8893129825592041,0.3227381408214569,1e-04,0.90625,0.2705172896385193
19,0.9007633328437805,0.2918356955051422,1e-04,0.84375,0.3108181953430176
20,0.9083969593048096,0.24990975856781006,1e-04,0.8125,0.5146507620811462
21,0.8702290058135986,0.3123292624950409,1e-04,0.96875,0.24624261260032654
22,0.9007633328437805,0.2452726811170578,1e-04,0.9375,0.15473462641239166
23,0.8931297659873962,0.2202242612838745,1e-04,0.9375,0.2433088719844818
24,0.7748091816902161,0.6831386089324951,1e-04,0.96875,0.19327384233474731
25,0.7824427485466003,0.502353847026825,1e-04,0.84375,0.48189932107925415
26,0.8358778357505798,0.44696295261383057,1e-04,0.90625,0.2743152379989624
27,0.8587786555290222,0.4430173635482788,1e-04,0.90625,0.3425135612487793
28,0.8625954389572144,0.40730348229408264,1e-04,0.84375,0.5589505434036255
29,0.8778625726699829,0.36815890669822693,1e-04,0.90625,0.2293063998222351
